,Year,County,HarvestedAcres,Yield(Ton Per Acre),Production(Tons),Price(Dollars Per Ton),Value(Dollars),Min. Temp(F),Max. Temp(F),Precip.(in),Temp Range(F)
0,2020,Marin,195.0,1.33,260.0,3607.69,938000,43.2,78.0,13.07,34.8
1,2020,Napa,45200.0,2.2,99300.0,4646.48,461395000,38.1,92.7,10.32,54.6
2,2020,Placer,315.0,2.79,879.0,2235.49,1965000,31.9,88.6,24.95,56.7
3,2020,SantaCruz,670.0,2.39,1600.0,3008.75,4814000,38.7,82.5,14.51,43.8
4,2020,Sonoma,56800.0,2.61,148000.0,2375.08,351512000,38.7,82.5,14.51,43.8
5,2019,Marin,195.0,2.08,406.0,3371.92,1369000,41.3,76.0,46.7,34.7
6,2019,Napa,44200.0,3.62,160000.0,5862.26,937962000,37.3,90.4,43.5,53.10000000000001
7,2019,Placer,307.0,3.75,1150.0,1386.09,1594000,27.4,86.6,61.82,59.2
8,2019,SantaCruz,679.0,2.55,1730.0,3384.97,5856000,39.6,82.9,46.24,43.3
9,2019,Sonoma,57500.0,4.0,230000.0,2843.57,654021000,39.6,82.9,46.24,43.3
10,2018,Marin,195.0,1.96,382.0,3201.57,1223000,42.3,73.2,30.49,30.90000000000001
11,2018,Napa,43400.0,4.26,185000.0,5614.05,1038600000,38.2,91.5,24.56,53.3
12,2018,Placer,293.0,3.65,1070.0,1355.14,1450000,29.5,90.1,42.42,60.6
13,2018,SantaCruz,630.0,2.27,1430.0,2934.97,4197000,37.9,81.2,27.33,43.3
14,2018,Sonoma,59900.0,4.61,276000.0,2817.66,777675000,37.9,81.2,27.33,43.3
15,2017,Marin,195.0,1.49,291.0,3072.16,894000,41.5,76.8,45.85,35.3
16,2017,Napa,43600.0,3.26,142000.0,5287.55,750832000,37.0,92.2,43.3,55.2
17,2017,Placer,270.0,3.01,814.0,1371.01,1116000,30.0,89.6,75.84,59.6
18,2017,SantaCruz,638.0,2.35,1500.0,3226.67,4840000,37.7,83.1,47.63,45.39999999999999
19,2017,Sonoma,60000.0,3.43,206000.0,2807.34,578313000,37.7,83.1,47.63,45.39999999999999
20,2016,Marin,182.0,1.37,250.0,3468.0,867000,41.0,73.3,40.81,32.3
21,2016,Napa,43400.0,3.53,153000.0,4768.02,729507000,36.1,89.2,36.01,53.1
22,2016,Placer,265.0,3.11,823.0,1245.44,1025000,30.1,87.1,57.28,56.99999999999999
23,2016,SantaCruz,626.0,2.43,1520.0,2988.82,4543000,40.0,79.1,40.44,39.1
24,2016,Sonoma,60000.0,3.77,226000.0,2595.21,586518000,40.0,79.1,40.44,39.1
25,2015,Marin,175.0,0.59,103.0,3368.93,347000,43.1,76.8,15.93,33.7
26,2015,Napa,43000.0,2.88,124000.0,4410.76,546934000,37.5,89.4,13.88,51.900000000000006
27,2015,Placer,215.0,1.63,350.0,1488.57,521000,29.3,85.8,31.0,56.5
28,2015,SantaCruz,656.0,1.26,827.0,2844.01,2352000,38.4,84.5,17.02,46.1
29,2015,Sonoma,58200.0,3.14,183000.0,2440.1,446539000,38.4,84.5,17.02,46.1
30,2014,Marin,175.0,1.86,325.0,2163.08,703000,43.7,74.1,40.24,30.39999999999999
31,2014,Napa,43600.0,4.04,176000.0,4061.43,714811000,39.0,89.4,33.28,50.400000000000006
32,2014,Placer,212.0,2.57,545.0,1390.83,758000,34.9,88.7,42.03,53.8
33,2014,SantaCruz,654.0,2.55,1670.0,2921.56,4879000,40.8,79.2,33.51,38.400000000000006
34,2014,Sonoma,58300.0,4.39,256000.0,2315.62,592798000,40.8,79.2,33.51,38.400000000000006
35,2013,Marin,175.0,1.75,306.0,2856.21,874000,36.0,71.6,8.4,35.599999999999994
36,2013,Napa,43600.0,4.01,175000.0,3749.91,656235000,33.6,89.4,6.720000000000001,55.8
37,2013,Placer,211.0,3.55,750.0,1225.33,919000,27.6,88.4,14.6,60.8
38,2013,SantaCruz,656.0,2.71,1780.0,2584.83,4601000,35.4,79.1,6.07,43.7
39,2013,Sonoma,59800.0,4.53,271000.0,2232.72,605068000,35.4,79.1,6.07,43.7
40,2012,Marin,186.0,2.08,387.0,3170.54,1227000,41.3,72.5,44.26,31.200000000000003
41,2012,Napa,43200.0,4.24,183000.0,3585.99,656236000,35.9,90.3,39.43,54.4
42,2012,Placer,197.0,3.55,699.0,1100.14,769000,29.8,89.1,54.97,59.3
43,2012,SantaCruz,630.0,3.16,1990.0,2701.01,5375000,37.5,79.4,36.02,41.900000000000006
44,2012,Sonoma,58300.0,4.58,267000.0,2183.3,582942000,37.5,79.4,36.02,41.900000000000006
45,2011,Marin,186.0,1.03,191.0,4623.04,883000,39.0,74.6,28.49,35.599999999999994
46,2011,Napa,43600.0,2.8,122000.0,3470.84,423442000,35.0,88.3,27.53,53.3
47,2011,Placer,190.0,1.94,368.0,1089.67,401000,28.1,84.7,40.14,56.6
48,2011,SantaCruz,644.0,1.04,670.0,2398.51,1607000,35.7,76.4,28.46,40.7
49,2011,Sonoma,58100.0,2.87,167000.0,2078.32,347080000,35.7,76.4,28.46,40.7
50,2010,Marin,186.0,1.11,207.0,5125.6,1061000,42.7,74.9,47.75,32.2
51,2010,Napa,43300.0,3.21,139000.0,3265.35,453883000,39.7,86.8,42.59,47.1
52,2010,Placer,226.0,2.0,452.0,1070.8,484000,32.6,86.4,61.74,53.8
53,2010,SantaCruz,607.0,2.22,1350.0,2271.11,3066000,40.0,78.8,42.26,38.8
54,2010,Sonoma,56500.0,3.4,192000.0,2033.58,390448000,40.0,78.8,42.26,38.8
55,2009,Marin,193.0,1.27,246.0,3186.59,783900,41.0,77.1,28.68,36.1
56,2009,Napa,43031.0,3.32,142976.0,3462.25,495018700,36.5,89.7,25.6,53.2
57,2009,Placer,211.0,2.4,506.0,997.04,504500,28.4,87.8,39.04,59.4
58,2009,SantaCruz,629.0,2.31,1453.0,2229.18,3239000,39.2,79.8,28.33,40.6
59,2009,Sonoma,56306.0,3.78,212675.0,2186.61,465036400,39.2,79.8,28.33,40.6
60,2008,Marin,195.0,1.02,199.0,3537.19,703900,39.8,74.8,27.04,35.0
61,2008,Napa,42870.0,2.7,115864.0,3451.57,399913100,34.9,91.2,25.13,56.3
62,2008,Placer,212.0,2.31,490.0,1015.71,497700,28.8,87.6,33.7,58.8
63,2008,SantaCruz,612.0,1.93,1181.0,2488.57,2939000,37.2,77.8,27.31,40.6
64,2008,Sonoma,55431.0,3.05,168992.0,2255.09,381092000,37.2,77.8,27.31,40.6
65,2007,Marin,192.0,0.9,173.0,4368.21,755700,38.3,73.0,21.67,34.7
66,2007,Napa,42338.0,3.43,145115.0,3256.77,472606600,33.0,89.5,17.53,56.5
67,2007,Placer,190.0,2.71,515.0,873.59,449900,26.1,87.2,31.24,61.1
68,2007,SantaCruz,598.0,2.13,1274.0,2383.83,3037000,34.7,78.2,17.15,43.5
69,2007,Sonoma,54899.0,3.62,198533.0,2098.14,416549600,34.7,78.2,17.15,43.5
70,2006,Marin,118.0,1.86,219.0,2273.52,497900,41.3,77.4,41.01,36.10000000000001
71,2006,Napa,42188.0,3.62,152776.0,3070.33,469072900,36.9,93.6,34.07,56.7
72,2006,Placer,189.0,2.57,485.0,974.43,472600,29.1,89.5,49.91,60.4
73,2006,SantaCruz,600.0,3.0,1800.0,2390.0,4302000,39.0,81.2,37.68,42.2
74,2006,Sonoma,55507.0,3.9,216248.0,1990.76,430496900,39.0,81.2,37.68,42.2
75,2005,Marin,108.0,1.04,112.0,2371.43,265600,41.5,73.7,47.8,32.2
76,2005,Napa,41910.0,4.32,181025.0,2987.43,540800000,37.7,92.1,43.13,54.39999999999999
77,2005,Placer,230.0,2.24,515.0,781.94,402700,31.4,89.5,63.2,58.1
78,2005,SantaCruz,575.0,1.39,799.0,2200.25,1758000,40.8,76.7,43.04,35.900000000000006
79,2005,Sonoma,57050.0,4.05,230910.0,1864.64,430563500,40.8,76.7,43.04,35.900000000000006
80,2004,Marin,110.0,1.26,139.0,1914.39,266100,43.2,76.0,35.33,32.8
81,2004,Napa,40439.0,2.96,119874.0,2915.56,349500000,38.5,89.2,31.23,50.7
82,2004,Placer,230.0,3.2,736.0,878.94,646900,30.7,86.1,38.13,55.39999999999999
83,2004,SantaCruz,572.0,1.2,686.0,2131.2,1462000,40.1,79.8,31.47,39.7
84,2004,Sonoma,50010.0,3.31,165783.0,1882.64,312110200,40.1,79.8,31.47,39.7
85,2003,Marin,74.0,1.57,116.0,1991.38,231000,42.5,75.2,31.26,32.7
86,2003,Napa,39106.0,3.29,128814.0,2985.7,384600000,38.1,92.7,30.45,54.6
87,2003,Placer,200.0,1.76,352.0,1036.08,364700,30.4,89.4,39.84,59.00000000000001
88,2003,SantaCruz,574.0,3.33,1911.0,1350.08,2580000,40.1,78.8,28.17,38.7
89,2003,Sonoma,52176.0,3.08,160768.0,1967.2,316262300,40.1,78.8,28.17,38.7
90,2002,Marin,82.0,1.77,145.0,1759.0,255000,40.4,74.7,35.36,34.300000000000004
91,2002,Napa,37072.0,3.51,130099.0,2920.0,379930000,35.8,89.4,31.67,53.60000000000001
92,2002,Placer,130.0,3.0,390.0,1070.0,417300,27.7,88.4,40.65,60.7
93,2002,SantaCruz,549.0,4.0,2196.0,1500.0,3294000,36.6,77.5,32.07,40.9
94,2002,Sonoma,46587.0,3.93,183139.0,2055.0,376422300,36.6,77.5,32.07,40.9
95,2001,Marin,95.0,2.4,228.0,2043.0,465900,39.8,73.5,41.87,33.7
96,2001,Napa,35095.0,3.6,126438.0,2802.0,354338000,35.0,89.2,37.82,54.2
97,2001,Placer,40.0,1.5,60.0,1350.0,81000,28.7,87.7,41.23,59.0
98,2001,SantaCruz,466.0,3.5,1631.0,2270.0,3702000,37.1,78.0,40.19,40.9
99,2001,Sonoma,43589.0,3.98,173583.0,2157.0,374389700,37.1,78.0,40.19,40.9
100,2000,Marin,94.0,1.24,117.0,2009.0,235100,42.8,73.6,35.14,30.8
101,2000,Napa,32365.0,4.23,136962.0,2464.0,337469000,38.1,88.6,31.24,50.49999999999999
102,2000,SantaCruz,477.0,1.61,768.0,2271.0,1744000,38.8,77.7,39.53,38.900000000000006
103,2000,Sonoma,42220.0,4.52,190789.0,2043.0,389781900,38.8,77.7,39.53,38.900000000000006
104,1999,Marin,91.0,1.7,155.0,1935.0,300000,40.7,72.9,29.93,32.2
105,1999,Napa,30506.0,3.39,103526.0,2143.0,221852000,36.7,86.1,25.4,49.39999999999999
106,1999,SantaCruz,260.0,2.64,686.0,2204.0,1512000,37.5,76.4,29.130000000000003,38.900000000000006
107,1999,Sonoma,42227.0,3.37,142477.0,1890.0,269271000,37.5,76.4,29.130000000000003,38.900000000000006
108,1998,Napa,30875.0,3.32,102355.0,1910.0,195481000,33.7,92.4,47.26,58.7
109,1998,SantaCruz,254.0,1.3,330.0,1533.0,506000,35.1,80.1,55.650000000000006,44.99999999999999
110,1998,Sonoma,35334.0,3.77,133258.0,1740.0,231828000,35.1,80.1,55.650000000000006,44.99999999999999
111,1997,Napa,31184.0,4.62,144217.0,1724.0,248701000,38.2,89.1,29.76,50.89999999999999
112,1997,SantaCruz,245.0,4.4,1078.0,1955.0,2107000,39.1,81.6,30.73,42.49999999999999
113,1997,Sonoma,34121.0,5.5,187674.0,1589.0,298147300,39.1,81.6,30.73,42.49999999999999
114,1996,Napa,30919.0,3.24,100251.0,1512.0,151595000,39.0,92.4,48.65,53.400000000000006
115,1996,SantaCruz,245.0,2.1,514.0,1951.0,1003000,42.1,77.7,52.44,35.6
116,1996,Sonoma,33703.0,3.8,127990.0,1372.0,175572200,42.1,77.7,52.44,35.6
117,1995,Napa,31514.0,3.49,109842.0,1310.0,143929000,41.4,89.6,53.13,48.2
118,1995,SantaCruz,180.0,1.11,200.0,1600.0,320000,43.1,79.1,48.05,35.99999999999999
119,1995,Sonoma,33189.0,4.22,139993.0,1135.0,158824800,43.1,79.1,48.05,35.99999999999999
120,1994,Napa,32239.0,3.76,121292.0,1213.0,147161000,35.0,90.0,23.21,55.0
121,1994,SantaCruz,188.0,0.81,152.0,1296.0,197000,37.6,77.7,26.69,40.1
122,1994,Sonoma,33766.0,4.53,153096.0,995.0,152280700,37.6,77.7,26.69,40.1
123,1993,Napa,32034.0,3.48,111589.0,1205.0,134486000,35.0,88.2,36.93,53.2
124,1993,SantaCruz,163.0,0.93,152.0,1678.0,255000,38.9,77.5,38.24,38.6
125,1993,Sonoma,31475.0,4.16,131039.0,952.0,124725900,38.9,77.5,38.24,38.6
126,1992,Napa,31155.0,4.34,135256.0,1240.0,167682000,35.2,91.0,33.2,55.8
127,1992,SantaCruz,96.0,1.44,138.0,1449.0,200000,37.5,79.1,32.81,41.6
128,1992,Sonoma,31263.0,4.73,148010.0,1004.0,148618600,37.5,79.1,32.81,41.6
129,1991,Napa,29993.0,4.61,138322.0,1260.0,174275000,35.3,88.6,25.77,53.3
130,1991,SantaCruz,110.0,1.6,176.0,1489.0,262000,37.5,76.3,29.42,38.8
131,1991,Sonoma,29421.0,4.95,145493.0,1016.0,147802900,37.5,76.3,29.42,38.8
132,1990,Napa,28846.0,3.96,114304.0,1229.0,140484000,29.4,89.2,16.65,59.8
133,1990,SantaCruz,120.0,2.0,240.0,1363.0,327000,32.2,77.3,17.57,45.1
134,1990,Sonoma,29473.0,3.8,111921.0,1004.0,112401900,32.2,77.3,17.57,45.1
135,1989,Napa,27858.0,4.77,132849.0,1157.0,153688000,34.2,90.0,18.71,55.8
136,1989,Placer,111.0,2.58,286.0,434.0,124000,26.2,85.4,40.510000000000005,59.2
137,1989,SantaCruz,120.0,1.8,216.0,1449.0,313000,35.7,78.4,17.17,42.7
138,1989,Sonoma,29298.0,4.42,129544.0,944.0,122306600,35.7,78.4,17.17,42.7
139,1988,Napa,29243.0,3.41,99777.0,982.0,97943000,36.5,92.8,20.39,56.3
140,1988,Placer,123.0,2.17,267.0,330.0,88100,29.0,89.2,32.45,60.2
141,1988,SantaCruz,110.0,1.1,121.0,1149.0,139000,37.7,78.8,19.66,41.1
142,1988,Sonoma,29452.0,3.54,104161.0,805.0,83824800,37.7,78.8,19.66,41.1
143,1987,Napa,28970.0,3.46,100180.0,820.0,82162000,35.2,87.1,28.23,51.89999999999999
144,1987,Placer,125.0,2.13,266.0,395.0,105000,27.4,86.1,33.910000000000004,58.7
145,1987,SantaCruz,105.0,0.9,95.0,895.0,85000,37.7,76.6,27.66,38.89999999999999
146,1987,Sonoma,28191.0,3.77,106205.0,636.0,67567600,37.7,76.6,27.66,38.89999999999999
147,1986,Napa,27653.0,4.09,113220.0,757.0,85676000,36.6,88.6,39.29,51.99999999999999
148,1986,Placer,126.0,2.06,260.0,276.0,71800,31.5,87.4,50.870000000000005,55.900000000000006
149,1986,Sonoma,28609.0,3.77,107992.0,579.0,62565480,38.4,75.1,36.75,36.7
150,1985,Napa,25690.0,3.95,101407.0,772.0,78332000,34.0,91.2,21.06,57.2
151,1985,Placer,126.0,1.36,171.0,211.0,36100,28.3,87.2,33.3,58.900000000000006
152,1985,Sonoma,28099.0,3.59,100962.0,572.0,57700792,36.3,79.1,23.630000000000003,42.8
153,1984,Napa,24831.0,4.03,99996.0,768.0,76836000,35.3,91.6,21.8,56.3
154,1984,Placer,129.0,2.05,265.0,193.0,51100,27.8,88.2,35.24,60.400000000000006
155,1984,SantaCruz,103.0,1.55,160.0,825.0,132000,37.9,84.4,22.82,46.50000000000001
156,1984,Sonoma,26348.0,3.81,100293.0,592.0,59369600,37.9,84.4,22.82,46.50000000000001
157,1983,Napa,25245.0,3.53,89084.0,714.0,63604000,37.7,88.0,66.01,50.3
158,1983,Placer,129.0,2.0,258.0,265.0,68400,31.6,82.6,85.71000000000001,50.99999999999999
159,1983,SantaCruz,97.0,1.27,123.0,821.0,101000,40.4,80.3,68.71000000000001,39.9
160,1983,Sonoma,25541.0,3.14,80201.0,543.0,43514100,40.4,80.3,68.71000000000001,39.9
161,1982,Napa,24168.0,4.08,98687.0,773.0,76257000,33.7,87.9,48.3,54.2
162,1982,Placer,129.0,1.22,157.0,303.0,47600,26.5,83.8,73.88,57.3
163,1982,Sonoma,24746.0,4.0,98979.0,565.0,55910300,34.9,77.6,54.260000000000005,42.7
164,1981,Napa,22152.0,3.62,80155.0,732.0,58659000,40.4,90.4,37.47,50.00000000000001
165,1981,Sonoma,23776.0,3.39,80675.0,590.0,47626000,41.5,80.6,35.89,39.1
166,1980,Napa,22261.0,3.6,80112.0,622.0,49863000,37.7,88.1,31.43,50.39999999999999
167,1980,Sonoma,23639.0,3.34,78941.0,506.0,39982000,39.2,75.9,31.29,36.7
